I	J	K	  Dose  	 Tot.LETd 	 e- dose 	 e- LETd 	 p dose 	 p LETd 	 He dose 	 He LETd 	 Li dose 	 Li LETd 	 Be dose 	 Be LETd 	 B dose 	 B LETd 	 C dose 	 C LETd 	 N dose 	 N LETd 	 O dose 	 O LETd 	
0	0	18	5.625649e-04	1.344602e+01	5.097128e-02	4.573053e-01	3.212502e-02	4.846350e+00	2.259928e-02	9.308729e+01	4.700244e-03	1.357069e+02	3.620630e-03	1.034308e+02	8.600709e-03	3.431025e+01	8.765157e-01	1.083141e+01	3.154917e-04	8.287618e+02	9.076794e-05	1.071362e+03	
0	0	19	5.620249e-04	1.343744e+01	5.092682e-02	4.559894e-01	3.298824e-02	4.988084e+00	2.316833e-02	9.299311e+01	4.770081e-03	1.316324e+02	3.737009e-03	9.729657e+01	8.900720e-03	2.784723e+01	8.746183e-01	1.085075e+01	3.229338e-04	8.019628e+02	9.210809e-05	1.147766e+03	
0	0	20	5.612719e-04	1.353339e+01	5.072560e-02	4.577729e-01	3.359168e-02	4.885443e+00	2.369283e-02	9.128386e+01	4.888030e-03	1.277795e+02	3.873701e-03	9.676570e+01	9.220311e-03	2.836178e+01	8.730866e-01	1.087931e+01	3.324701e-04	9.159346e+02	1.011635e-04	1.174631e+03	
0	0	21	5.605489e-04	1.335527e+01	5.066175e-02	4.567321e-01	3.411788e-02	4.791566e+00	2.407356e-02	8.725083e+01	5.058263e-03	1.289818e+02	3.980509e-03	8.711946e+01	9.573268e-03	3.298195e+01	8.716104e-01	1.080151e+01	3.326893e-04	6.549281e+02	9.801334e-05	1.224576e+03	
0	0	22	5.602215e-04	1.367338e+01	5.060203e-02	4.583576e-01	3.492000e-02	4.720060e+00	2.476853e-02	8.875809e+01	5.202761e-03	1.306611e+02	4.100045e-03	8.792002e+01	9.890053e-03	3.211728e+01	8.695569e-01	1.091804e+01	3.568990e-04	8.499478e+02	9.963145e-05	1.302240e+03	
0	0	23	5.596093e-04	1.361450e+01	5.050234e-02	4.577231e-01	3.556080e-02	4.695306e+00	2.538978e-02	8.805334e+01	5.274644e-03	1.247841e+02	4.201080e-03	7.607439e+01	1.022825e-02	2.958753e+01	8.678502e-01	1.087571e+01	3.871472e-04	7.878513e+02	1.002526e-04	1.627262e+03	
0	0	24	5.586445e-04	1.358329e+01	5.038025e-02	4.564023e-01	3.602695e-02	4.701007e+00	2.585342e-02	8.401199e+01	5.379873e-03	1.157584e+02	4.354152e-03	8.605431e+01	1.055226e-02	2.872618e+01	8.664599e-01	1.091737e+01	3.931579e-04	8.154986e+02	1.028217e-04	1.311385e+03	
0	0	25	5.580815e-04	1.368234e+01	5.024407e-02	4.561508e-01	3.669620e-02	4.608132e+00	2.635958e-02	8.655033e+01	5.471808e-03	1.177398e+02	4.483674e-03	8.797113e+01	1.089048e-02	3.246316e+01	8.648504e-01	1.094428e+01	3.823217e-04	5.797201e+02	1.122874e-04	1.152846e+03	
0	0	26	5.572133e-04	1.366386e+01	5.009794e-02	4.579061e-01	3.713763e-02	4.628549e+00	2.673973e-02	8.087313e+01	5.660900e-03	1.134628e+02	4.602101e-03	8.022625e+01	1.123527e-02	3.095369e+01	8.634734e-01	1.100494e+01	4.277570e-04	7.219782e+02	1.103824e-04	1.207678e+03	
0	0	27	5.563796e-04	1.368615e+01	5.002518e-02	4.593376e-01	3.757943e-02	4.573883e+00	2.710880e-02	7.999399e+01	5.762642e-03	1.126032e+02	4.736674e-03	8.215417e+01	1.154604e-02	2.587362e+01	8.621742e-01	1.111364e+01	4.256009e-04	6.373270e+02	1.133511e-04	1.165456e+03	
0	0	28	5.557497e-04	1.357820e+01	4.994805e-02	4.588703e-01	3.817950e-02	4.523183e+00	2.775833e-02	7.951794e+01	5.826642e-03	1.106962e+02	4.858642e-03	8.773214e+01	1.189320e-02	2.432164e+01	8.604477e-01	1.093218e+01	4.440533e-04	6.406145e+02	1.039536e-04	1.165692e+03	
0	0	29	5.551129e-04	1.385105e+01	4.984795e-02	4.584291e-01	3.867604e-02	4.417430e+00	2.825037e-02	8.020457e+01	5.938688e-03	1.083718e+02	5.002622e-03	9.298876e+01	1.225764e-02	2.647599e+01	8.589059e-01	1.106157e+01	4.652830e-04	6.759484e+02	1.201728e-04	1.175364e+03	
0	0	30	5.543858e-04	1.372953e+01	4.968979e-02	4.598327e-01	3.914191e-02	4.299015e+00	2.887137e-02	7.876594e+01	6.130107e-03	1.109446e+02	5.102435e-03	8.656215e+01	1.258899e-02	2.219413e+01	8.573741e-01	1.105985e+01	4.478434e-04	5.637809e+02	1.103126e-04	1.156964e+03	
0	0	31	5.536450e-04	1.374392e+01	4.962196e-02	4.592195e-01	3.976279e-02	4.365337e+00	2.921785e-02	7.717870e+01	6.188638e-03	1.035313e+02	5.214046e-03	7.903859e+01	1.293624e-02	2.455320e+01	8.559157e-01	1.106852e+01	4.788502e-04	6.508622e+02	1.129881e-04	1.200719e+03	
0	0	32	5.528447e-04	1.365175e+01	4.950976e-02	4.581961e-01	4.019516e-02	4.300379e+00	2.967252e-02	7.570576e+01	6.376163e-03	1.106119e+02	5.300639e-03	6.368853e+01	1.322933e-02	2.264872e+01	8.545826e-01	1.108485e+01	4.774836e-04	6.282307e+02	1.041034e-04	8.949830e+02	
0	0	33	5.523646e-04	1.377643e+01	4.934506e-02	4.591064e-01	4.090799e-02	4.363340e+00	3.029968e-02	7.525003e+01	6.438082e-03	9.979654e+01	5.448575e-03	7.258620e+01	1.355012e-02	2.434532e+01	8.528720e-01	1.115123e+01	4.896737e-04	6.150633e+02	1.086963e-04	1.056672e+03	
0	0	34	5.516229e-04	1.369930e+01	4.931913e-02	4.594913e-01	4.147734e-02	4.387356e+00	3.054856e-02	7.167459e+01	6.563248e-03	9.946560e+01	5.570253e-03	7.461940e+01	1.386338e-02	2.310325e+01	8.515112e-01	1.117591e+01	4.844221e-04	5.214137e+02	1.122063e-04	1.298753e+03	
0	0	35	5.509218e-04	1.389868e+01	4.914234e-02	4.597516e-01	4.179799e-02	4.197656e+00	3.123209e-02	7.339369e+01	6.725072e-03	1.010705e+02	5.702189e-03	7.453260e+01	1.413509e-02	2.170278e+01	8.500871e-01	1.122790e+01	5.041721e-04	5.339300e+02	1.273208e-04	1.421833e+03	
0	0	36	5.500787e-04	1.371444e+01	4.907326e-02	4.614512e-01	4.222767e-02	4.236435e+00	3.156655e-02	7.154319e+01	6.791474e-03	9.597771e+01	5.814041e-03	6.671823e+01	1.447121e-02	2.547762e+01	8.488526e-01	1.101779e+01	5.407790e-04	6.075182e+02	1.199496e-04	1.335186e+03	
0	0	37	5.491993e-04	1.401643e+01	4.892294e-02	4.595218e-01	4.262583e-02	4.105710e+00	3.201743e-02	7.124669e+01	6.884834e-03	9.230860e+01	5.960315e-03	7.313521e+01	1.479806e-02	2.862212e+01	8.475821e-01	1.125161e+01	5.428711e-04	5.293154e+02	1.209803e-04	1.466671e+03	
0	0	38	5.487096e-04	1.384720e+01	4.879600e-02	4.583422e-01	4.333675e-02	4.209146e+00	3.257434e-02	7.039763e+01	7.051109e-03	9.581889e+01	6.066367e-03	7.397671e+01	1.505185e-02	2.133206e+01	8.459012e-01	1.115934e+01	5.470140e-04	5.556819e+02	1.271628e-04	1.232510e+03	
0	0	39	5.479905e-04	1.398083e+01	4.872245e-02	4.595377e-01	4.368829e-02	4.074966e+00	3.304085e-02	6.958889e+01	7.208256e-03	9.763120e+01	6.177852e-03	6.683639e+01	1.537030e-02	2.479216e+01	8.445429e-01	1.125108e+01	5.763810e-04	6.140651e+02	1.159153e-04	1.059895e+03	
0	0	40	5.471529e-04	1.380427e+01	4.855593e-02	4.602094e-01	4.422148e-02	4.163689e+00	3.336783e-02	6.699205e+01	7.241614e-03	8.836765e+01	6.291798e-03	6.350921e+01	1.568392e-02	2.493856e+01	8.433661e-01	1.124235e+01	5.720937e-04	4.709825e+02	1.286632e-04	1.379189e+03	
0	0	41	5.464400e-04	1.392016e+01	4.850119e-02	4.588524e-01	4.465048e-02	4.161886e+00	3.386575e-02	6.697692e+01	7.291006e-03	8.213260e+01	6.437472e-03	6.887186e+01	1.598477e-02	2.733778e+01	8.420030e-01	1.129433e+01	5.901957e-04	5.526862e+02	1.120621e-04	1.113172e+03	
0	0	42	5.457866e-04	1.402885e+01	4.843779e-02	4.621554e-01	4.494075e-02	4.040019e+00	3.445339e-02	6.701151e+01	7.512452e-03	8.910394e+01	6.561708e-03	7.219208e+01	1.627912e-02	2.445442e+01	8.405062e-01	1.125696e+01	6.138668e-04	5.639312e+02	1.271965e-04	1.280349e+03	
0	0	43	5.448767e-04	1.386414e+01	4.829715e-02	4.603436e-01	4.512857e-02	4.007719e+00	3.505255e-02	6.738482e+01	7.561198e-03	8.258631e+01	6.621806e-03	5.094699e+01	1.657480e-02	2.176068e+01	8.394394e-01	1.120269e+01	6.314697e-04	6.033639e+02	1.307840e-04	1.460162e+03	
0	0	44	5.441048e-04	1.393862e+01	4.818191e-02	4.597303e-01	4.556510e-02	3.995260e+00	3.547388e-02	6.644497e+01	7.650068e-03	8.411942e+01	6.791018e-03	6.820508e+01	1.683765e-02	1.944535e+01	8.381762e-01	1.132280e+01	6.260243e-04	4.839931e+02	1.251887e-04	1.097691e+03	
0	0	45	5.435904e-04	1.404126e+01	4.809582e-02	4.599542e-01	4.607882e-02	4.030603e+00	3.600643e-02	6.556146e+01	7.822955e-03	8.541430e+01	6.909349e-03	6.713001e+01	1.714466e-02	2.028675e+01	8.366098e-01	1.135879e+01	6.390239e-04	4.959585e+02	1.253388e-04	1.291903e+03	
0	0	46	5.426570e-04	1.417293e+01	4.793559e-02	4.605099e-01	4.642440e-02	3.845381e+00	3.622720e-02	6.271101e+01	7.926943e-03	8.857688e+01	7.056808e-03	7.264528e+01	1.749624e-02	2.779259e+01	8.355714e-01	1.135989e+01	6.626994e-04	5.343014e+02	1.278799e-04	1.194504e+03	
0	0	47	5.421543e-04	1.413394e+01	4.790852e-02	4.606974e-01	4.690888e-02	3.908364e+00	3.684129e-02	6.385198e+01	8.058148e-03	8.631897e+01	7.143055e-03	6.231433e+01	1.775068e-02	2.011681e+01	8.340060e-01	1.143090e+01	6.778224e-04	5.930674e+02	1.296000e-04	1.055136e+03	
0	0	48	5.411947e-04	1.391975e+01	4.779775e-02	4.605687e-01	4.713600e-02	3.882899e+00	3.718599e-02	6.203009e+01	8.129956e-03	7.865626e+01	7.215088e-03	5.083406e+01	1.808227e-02	2.263946e+01	8.330828e-01	1.142457e+01	6.573763e-04	4.374809e+02	1.395483e-04	1.294640e+03	
0	0	49	5.403527e-04	1.393414e+01	4.771634e-02	4.605060e-01	4.748798e-02	3.993423e+00	3.736159e-02	5.820118e+01	8.216647e-03	7.813690e+01	7.373115e-03	6.197273e+01	1.842570e-02	2.226194e+01	8.320282e-01	1.142115e+01	6.851463e-04	5.162235e+02	1.348828e-04	1.325185e+03	
0	0	50	5.399340e-04	1.411273e+01	4.752942e-02	4.628431e-01	4.801903e-02	3.952857e+00	3.809386e-02	6.023510e+01	8.337576e-03	8.343553e+01	7.504110e-03	6.688036e+01	1.872129e-02	2.201822e+01	8.303955e-01	1.142001e+01	6.960004e-04	5.003893e+02	1.342083e-04	1.192650e+03	
0	0	51	5.390385e-04	1.401150e+01	4.748161e-02	4.606037e-01	4.814879e-02	3.777997e+00	3.850402e-02	5.877424e+01	8.477171e-03	8.396128e+01	7.599639e-03	6.067300e+01	1.904303e-02	1.967121e+01	8.293195e-01	1.143272e+01	7.001563e-04	4.818568e+02	1.386255e-04	1.275398e+03	
0	0	52	5.384946e-04	1.425917e+01	4.735506e-02	4.595153e-01	4.870771e-02	3.885719e+00	3.898644e-02	5.910732e+01	8.607663e-03	8.099608e+01	7.717767e-03	6.115584e+01	1.940368e-02	2.288794e+01	8.277929e-01	1.157896e+01	7.120685e-04	5.367079e+02	1.401750e-04	1.142989e+03	
0	0	53	5.376492e-04	1.408359e+01	4.723317e-02	4.618663e-01	4.908820e-02	3.906512e+00	3.945845e-02	5.762894e+01	8.728741e-03	7.823811e+01	7.828242e-03	5.872115e+01	1.971343e-02	2.032175e+01	8.265500e-01	1.150099e+01	7.119583e-04	5.779879e+02	1.275680e-04	1.038561e+03	
0	0	54	5.370678e-04	1.409986e+01	4.713408e-02	4.618970e-01	4.926907e-02	3.777093e+00	4.002517e-02	5.750399e+01	8.818762e-03	7.693627e+01	7.944191e-03	5.329775e+01	2.002229e-02	2.093994e+01	8.253596e-01	1.155945e+01	7.155303e-04	5.046935e+02	1.413002e-04	1.171642e+03	
